YEAR,Neighborhood (U.H.F),SEX,RACE/ETHNICITY,TOTAL NUMBER OF HIV DIAGNOSES,"HIV DIAGNOSES PER 100,000 POPULATION",TOTAL NUMBER OF CONCURRENT HIV/AIDS DIAGNOSES,PROPORTION OF CONCURRENT HIV/AIDS DIAGNOSES AMONG ALL HIV DIAGNOSES,TOTAL NUMBER OF AIDS DIAGNOSES,"AIDS DIAGNOSES PER 100,000 POPULATION"
2010,Greenpoint,Male,Black,6.00,330.40,0.00,0.00,5.00,275.30
2011,Stapleton - St. George,Female,Native American,0.00,0.00,0.00,0.00,0.00,0.00
2010,Southeast Queens,Male,All,23.00,25.40,5.00,21.70,14.00,15.40
2012,Upper Westside,Female,Unknown,0.00,0.00,0.00,0.00,0.00,0.00
2013,Willowbrook,Male,Unknown,0.00,0.00,0.00,0.00,0.00,0.00
2013,East Flatbush - Flatbush,Male,Black,54.00,56.50,8.00,14.80,33.00,34.50
2013,East Flatbush - Flatbush,Female,Native American,0.00,0.00,0.00,0.00,0.00,0.00
2013,Southwest Queens,Female,Unknown,0.00,0.00,0.00,0.00,0.00,0.00
2012,Fordham - Bronx Park,Male,Unknown,0.00,0.00,0.00,0.00,0.00,0.00
2010,Flushing - Clearview,All,All,14.00,5.40,5.00,35.70,12.00,4.60
2012,Greenpoint,Female,Multiracial,0.00,0.00,0.00,0.00,0.00,0.00
2012,Chelsea - Clinton,Female,Native American,0.00,0.00,0.00,0.00,0.00,0.00
2012,Coney Island - Sheepshead Bay,Male,Multiracial,0.00,0.00,0.00,0.00,0.00,0.00
2010,Southwest Queens,Female,Multiracial,0.00,0.00,0.00,0.00,0.00,0.00
2013,Unknown,Male,Multiracial,7.00,NA,0.00,NA,1.00,NA
2013,Willowbrook,Male,Asian/Pacific Islander,0.00,0.00,0.00,0.00,0.00,0.00
2012,Flushing - Clearview,Male,Asian/Pacific Islander,7.00,11.10,5.00,71.40,5.00,7.90
2013,Gramercy Park - Murray Hill,Male,Black,5.00,200.70,1.00,20.00,5.00,200.70
2012,Crotona - Tremont,Female,Native American,0.00,0.00,0.00,0.00,0.00,0.00
2012,Willowbrook,Female,Unknown,0.00,0.00,0.00,0.00,0.00,0.00
2013,Jamaica,Female,Multiracial,0.00,0.00,0.00,0.00,0.00,0.00
